,Year,Type,Country,Area,Location,Activity,Injury,Time
3,2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",fishing,Right leg bitten,12:00 - 14:59
4,2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",surfing,Heel bitten,15:00 - 17:59
6,2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,surfing,Puncture wounds to left shoulder,15:00 - 17:59
7,2017.0,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,playing,FATAL,21:00 - 23:59
9,2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,surfing,Minor injury to foot,09:00 - 11:59
10,2017.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",surfing,No injury but shark bit SUP,15:00 - 17:59
11,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,swimming,Minor injury to foot,12:00 - 14:59
12,2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",surfing,Lacerations to left foot,15:00 - 17:59
13,2017.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",swimming,Severe lacerations to left hand & wrist,06:00 - 08:59
14,2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,fishing,Minor injuries,12:00 - 14:59
15,2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",swimming,Puncture wounds & lacerations to foot,12:00 - 14:59
16,2017.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",surfing,Lacerations to left hand,18:00 - 20:59
17,2017.0,Unprovoked,USA,Hawaii,"Kama'ole Beach Park, Maui ",swimming,Abrasions,12:00 - 14:59
19,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,Lacerations to lower left leg and foot,06:00 - 08:59
20,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,surfing,"No injury, board damaged by shark",18:00 - 20:59
22,2017.0,Unprovoked,USA,Florida,Fort Worth,surfing,Laceration to upper arm,12:00 - 14:59
23,2017.0,Unprovoked,USA,Florida,Palm Beach County,surfing,Minor lacerations to sole of left foot,06:00 - 08:59
25,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Lacerations to left foot,15:00 - 17:59
29,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,swimming,Minor injuries,15:00 - 17:59
30,2017.0,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,surfing,Minor lacerations to right hip,06:00 - 08:59
32,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,swimming,FATAL,06:00 - 08:59
33,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,surfing,Injury to ankle & feet,09:00 - 11:59
36,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to right hand,09:00 - 11:59
37,2017.0,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,surfing,"No injury, board bitten",09:00 - 11:59
38,2017.0,Unprovoked,USA,Florida,Bathtub Beach ,playing,Leg injured,12:00 - 14:59
43,2017.0,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",swimming,Minor cuts to sole & toes of left foot,12:00 - 14:59
51,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,surfing,Torso bitten,15:00 - 17:59
53,2017.0,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",swimming,Abrasion to arm from shark's rough skin,12:00 - 14:59
58,2017.0,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",surfing,Pulled off board by shark but no injury,06:00 - 08:59
60,2017.0,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",swimming,Lower legs bitten,15:00 - 17:59
62,2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",surfing,"No injury, shark bit surfboard",15:00 - 17:59
66,2017.0,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",surfing,1 to 2-inch laceration behind knee,06:00 - 08:59
68,2018.0,Unprovoked,REUNION,,Roches Noire,surfing,"No injury, shark bit surfboard ",09:00 - 11:59
69,2017.0,Unprovoked,SPAIN,Ibiza Island,Playa d'en Bossa,swimming,2-inch laceration to hand,12:00 - 14:59
71,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",surfing,"No injury, board bitten",06:00 - 08:59
72,2017.0,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",surfing,"No injury, knocked off board",15:00 - 17:59
73,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Laceration to left foot,09:00 - 11:59
80,2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,fishing,Right leg severely bitten,06:00 - 08:59
82,2017.0,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",swimming,FATAL,15:00 - 17:59
84,2017.0,Unprovoked,USA,California,"San Onofre, San Diego County ",swimming,Major injury to posterior thigh,15:00 - 17:59
85,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",surfing,Minor injury to right calf,15:00 - 17:59
86,2017.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",surfing,Left foot bitten,09:00 - 11:59
87,2017.0,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,surfing,FATAL,09:00 - 11:59
88,2017.0,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",surfing,Puncture wounds & laceration above knee,12:00 - 14:59
90,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,swimming,Calf & foot bitten,15:00 - 17:59
93,2017.0,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,surfing,FATAL,15:00 - 17:59
94,2017.0,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",surfing,Lower right leg severely injured,09:00 - 11:59
95,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,Lacerations to right foot,12:00 - 14:59
96,2017.0,Unprovoked,USA,Florida,St. Augustine,surfing,Lacerations to right foot,12:00 - 14:59
98,2017.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,Calf bitten,15:00 - 17:59
99,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",surfing,Laceration to calf,15:00 - 17:59
100,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,Minor injury to left hand,15:00 - 17:59
102,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,"Thigh nipped, minor injury",12:00 - 14:59
104,2017.0,Unprovoked,USA,Florida,"Destin, Okaloosa County",swimming,Abrasions to lower left leg & puncture wounds to right leg,15:00 - 17:59
105,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to left foot,09:00 - 11:59
106,2017.0,Unprovoked,AUSTRALIA,New South Wales,The Farm,surfing,Minor,18:00 - 20:59
109,2017.0,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,swimming,Hand bitten,06:00 - 08:59
110,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",surfing,"No injury, shark struck board",06:00 - 08:59
112,2017.0,Unprovoked,AUSTRALIA,Queensland,Eva Rock,fishing,Left leg severely bitten,09:00 - 11:59
113,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,Injury to hand,12:00 - 14:59
119,2017.0,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",swimming,"Multiple injuries to arm, wrist and torso",12:00 - 14:59
120,2017.0,Unprovoked,AUSTRALIA,Queensland,Clairview,swimming,Injury to hand,12:00 - 14:59
122,2017.0,Unprovoked,INDONESIA,Bali,Balian Beach,surfing,Injury to right wrist & forearm,06:00 - 08:59
124,2017.0,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",playing,Minor injuries to foot,12:00 - 14:59
126,2016.0,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",surfing,Lacerations to right forearm,15:00 - 17:59
127,2016.0,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",swimming,Buttock bitten,06:00 - 08:59
128,2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",surfing,"No injury, but ski severely damaged",06:00 - 08:59
129,2016.0,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,swimming,Punctures to left foot/ankle,09:00 - 11:59
132,2016.0,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,surfing,Injuries to foot & arm,09:00 - 11:59
134,2016.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",swimming,Injuries to right calf and thigh,09:00 - 11:59
135,2016.0,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",surfing,Lacerations to right foot and ankle,12:00 - 14:59
136,2016.0,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,surfing,Lacerations to right hand,12:00 - 14:59
137,2016.0,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,surfing,Lacerations to left thigh,06:00 - 08:59
138,2016.0,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",surfing,Left arm and leg injured,15:00 - 17:59
139,2016.0,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",surfing,Torso nipped,18:00 - 20:59
140,2016.0,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",swimming,Injuries to left calf,09:00 - 11:59
142,2016.0,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,Minor wound to lower right leg & surfboard bitten,09:00 - 11:59
143,2016.0,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",surfing,Wounds to upper thigh and lower leg,15:00 - 17:59
144,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Cuts to dorsal surface of left foot,09:00 - 11:59
145,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injuries,15:00 - 17:59
147,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to thigh,12:00 - 14:59
148,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to hands,09:00 - 11:59
149,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to lower leg,09:00 - 11:59
150,2016.0,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",surfing,"No injury, board bitten",12:00 - 14:59
154,2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",playing,Minor injury to arm,15:00 - 17:59
155,2016.0,Unprovoked,USA,Hawaii,"Makaha, Oahu",swimming,Severe lacerations to shoulder & forearm,12:00 - 14:59
156,2016.0,Unprovoked,NEW CALEDONIA,North Province,Koumac,surfing,FATAL,15:00 - 17:59
157,2016.0,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",surfing,Lacerations & punctures to lower right leg,15:00 - 17:59
158,2016.0,Unprovoked,AUSTRALIA,Western Australia,Injidup ,surfing,"No inury, board broken in half by shark",15:00 - 17:59
162,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to right foot,15:00 - 17:59
163,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to ankle,12:00 - 14:59
164,2016.0,Unprovoked,REUNION,,Boucan Canot,surfing,"Right arm severed, ankle severely bitten ",15:00 - 17:59
165,2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",playing,Minor injury to ankle,15:00 - 17:59
167,2016.0,Unprovoked,USA,Hawaii,Maui,surfing,"No inury, shark & board collided",15:00 - 17:59
169,2016.0,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,swimming,Lacerations to right hand,09:00 - 11:59
173,2016.0,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,"No injury. Leg rope severed, knocked off board by shark",12:00 - 14:59
174,2016.0,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,surfing,Lacerations to left leg,18:00 - 20:59
179,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to leg,12:00 - 14:59
181,2016.0,Unprovoked,USA,California,"Surfside, Orange County",surfing,"No injury, board damaged",15:00 - 17:59
188,2016.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,"Buttocks, thigh, left hand & wrist injured",12:00 - 14:59
191,2016.0,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",surfing,Foot injured,12:00 - 14:59
194,2016.0,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",swimming,Lacerations and punctures to foot,15:00 - 17:59
195,2016.0,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",playing,Injuries to right calf,12:00 - 14:59
196,2016.0,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",surfing,Single puncture wound to arm,06:00 - 08:59
198,2016.0,Unprovoked,USA,Texas,"Pirates Beach, Galveston",swimming,Injury to lower leg,15:00 - 17:59
199,2016.0,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",playing,Laceration to wrist,15:00 - 17:59
201,2016.0,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",swimming,Leg bitten,06:00 - 08:59
202,2016.0,Unprovoked,AUSTRALIA,Western Australia,Mindarie,swimming,FATAL,09:00 - 11:59
203,2016.0,Unprovoked,EGYPT,Suez,Ain Sokhna,swimming,"Leg severely bitten, surgically amputated",06:00 - 08:59
205,2016.0,Unprovoked,NEW CALEDONIA,," Côte-Blanche, Nouméa ",surfing,Laceration to heel,12:00 - 14:59
206,2016.0,Unprovoked,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",surfing,FATAL,15:00 - 17:59
207,2016.0,Unprovoked,USA,California,"Corona Del Mar, Newport, Orange County",swimming,Injuries to arm and shoulder,15:00 - 17:59
208,2016.0,Unprovoked,USA,Florida,"Neptune, Duval County",swimming,Injury to posterior right leg,15:00 - 17:59
209,2016.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",swimming,Puncture wounds to thigh,12:00 - 14:59
210,2016.0,Unprovoked,USA,Florida,"St. Petersburg, Pinellas County",swimming,Lacerations and puncture wounds to foot and ankle,18:00 - 20:59
211,2016.0,Unprovoked,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",swimming,"Back, arm & hand injured",15:00 - 17:59
212,2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",swimming,Ankle bitten,06:00 - 08:59
214,2016.0,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",swimming,Minor lacerations to right shoulder,15:00 - 17:59
216,2016.0,Unprovoked,INDONESIA,Bali,Balian,surfing,Elbow bitten,06:00 - 08:59
217,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to left foot,15:00 - 17:59
218,2016.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",surfing,"No injury, surf-ski bitten",06:00 - 08:59
219,2016.0,Unprovoked,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",swimming,Minor puncture wound to foot,12:00 - 14:59
222,2016.0,Unprovoked,NEW CALEDONIA,Grand Terre,Poe Beach,playing,FATAL,09:00 - 11:59
226,2016.0,Unprovoked,USA,Hawaii,"Olowalu, Maui",swimming,Minor injury to left foot,09:00 - 11:59
227,2016.0,Unprovoked,AUSTRALIA,New South Wales,Bombo Beach,surfing,Severe injury to thigh,18:00 - 20:59
229,2016.0,Unprovoked,AUSTRALIA,New South Wales,North Cronulla Beach,surfing,"No injury, board dented",09:00 - 11:59
232,2016.0,Unprovoked,USA,Florida,"Vero Beach, St. Lucie County",surfing,Lacerations to right foot and ankle,12:00 - 14:59
237,2016.0,Unprovoked,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",surfing,Puncture wounds to right thigh,18:00 - 20:59
238,2016.0,Unprovoked,NEW CALEDONIA,South Province,Yate,fishing,Forearm bitten,15:00 - 17:59
239,2016.0,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",playing,Avulsion injury to lower leg,15:00 - 17:59
242,2016.0,Unprovoked,AUSTRALIA,Queensland,Stradbroke Island,playing,Foot nipped,12:00 - 14:59
243,2016.0,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,surfing,"No injury, shark bit board",15:00 - 17:59
245,2016.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",surfing,Lacerations to both hands,12:00 - 14:59
246,2016.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai, ",surfing,No injury,09:00 - 11:59
247,2016.0,Unprovoked,USA,Texas,Off Surfside,fishing,"Bruised ribs & tail bone, speargun broken and wetsuit cut",09:00 - 11:59
249,2016.0,Unprovoked,USA,Hawaii,"Wailea Beach, Maui",surfing,No injury,06:00 - 08:59
251,2016.0,Unprovoked,AUSTRALIA,Queensland,Heron Island,playing,Laceration to right calf,12:00 - 14:59
